times,stop_id1,longitude1,latitude1,stop_id2,longitude2,latitude2
7,U101004,304782.34745632816,2768491.347655738,U119052,304559.4712443352,2767943.2669394603
7,U101004,304782.34745632816,2768491.347655738,U119054,304539.92383030953,2768036.233267107
1,U101004,304782.34745632816,2768491.347655738,U119055,304081.35434119095,2767870.4766107467
2,U101004,304782.34745632816,2768491.347655738,U119064,304902.0743870699,2767830.5482248515
30,U101004,304782.34745632816,2768491.347655738,U119067,304645.4013813154,2768160.7135526733
18,U101004,304782.34745632816,2768491.347655738,U119068,304675.97157807957,2768087.729499767
8,U101004,304782.34745632816,2768491.347655738,U119071,304491.0594642331,2768141.2671251013
3,U101004,304782.34745632816,2768491.347655738,U119075,304495.30130300473,2767836.6746926173
4,U101004,304782.34745632816,2768491.347655738,U119076,304696.4449396659,2768015.8127894
1,U101004,304782.34745632816,2768491.347655738,U119077,304096.06848404446,2767977.9787600175
1,U101004,304782.34745632816,2768491.347655738,U119078,304387.5589369512,2767773.1085310616
4,U101004,304782.34745632816,2768491.347655738,U119083,304344.041751931,2768056.4990195655
4,U101004,304782.34745632816,2768491.347655738,U119084,304807.5625565405,2767991.8890027944
4,U101004,304782.34745632816,2768491.347655738,U119085,304749.2153849521,2767944.0253971517
3,U101004,304782.34745632816,2768491.347655738,U119086,304427.48961921706,2767884.03441135
8,U101004,304782.34745632816,2768491.347655738,U119088,304849.52992343716,2768097.286044661
2,U101004,304782.34745632816,2768491.347655738,U119089,304744.46169487643,2767870.900099199
80,U101005,304800.3836423711,2768272.101008953,U101006,304828.42582645384,2768577.930783876
474,U101005,304800.3836423711,2768272.101008953,U101007,304827.18925120105,2768382.9756237227
2,U101005,304800.3836423711,2768272.101008953,U101009,303877.6899384621,2768072.376047655
3,U101005,304800.3836423711,2768272.101008953,U101010,303854.83456431865,2767981.457124649
13,U101005,304800.3836423711,2768272.101008953,U101013,304831.9562169339,2768704.2195321564
1,U101005,304800.3836423711,2768272.101008953,U101014,303695.12999886007,2767784.7716361065
15,U101005,304800.3836423711,2768272.101008953,U101015,305149.70978463447,2768142.578933103
1,U101005,304800.3836423711,2768272.101008953,U101020,303802.49420281,2768201.6772384467
3,U101005,304800.3836423711,2768272.101008953,U101022,303934.30927015166,2767535.379785875
1,U101005,304800.3836423711,2768272.101008953,U101031,305205.8306238709,2767591.406579966
5,U101005,304800.3836423711,2768272.101008953,U101032,305040.86823355366,2767701.508704955
8,U101005,304800.3836423711,2768272.101008953,U101033,305025.60845183476,2767731.3544056807
84,U101005,304800.3836423711,2768272.101008953,U101036,305000.7550048541,2768138.8774073054
190,U101005,304800.3836423711,2768272.101008953,U101037,304934.95705389883,2768187.350405404
589,U101005,304800.3836423711,2768272.101008953,U101038,304785.47565774847,2768214.4423564468
158,U101005,304800.3836423711,2768272.101008953,U101039,304580.5831346477,2768216.945838149
15,U101005,304800.3836423711,2768272.101008953,U101042,304975.8725117133,2767800.9376219264
2,U101005,304800.3836423711,2768272.101008953,U101091,305166.3482356597,2768421.336320616
4,U101005,304800.3836423711,2768272.101008953,U101092,305209.08166401193,2768286.0405381876
214,U101005,304800.3836423711,2768272.101008953,U101093,304909.3092171517,2768265.7812737348
1,U101005,304800.3836423711,2768272.101008953,U101123,305345.1025579184,2768342.9710429506
11,U101005,304800.3836423711,2768272.101008953,U101166,304960.45692086767,2768622.767883643
4,U101005,304800.3836423711,2768272.101008953,U101181,303869.45185604505,2767601.5842635278
3,U101005,304800.3836423711,2768272.101008953,U101184,303828.23826356273,2767815.2020408446
12,U101005,304800.3836423711,2768272.101008953,U101190,304606.75791882776,2768486.214418667
54,U101005,304800.3836423711,2768272.101008953,U101191,305065.24971735774,2768163.505791441
6,U101005,304800.3836423711,2768272.101008953,U101193,304939.6360419377,2767776.4232206563
345,U101005,304800.3836423711,2768272.101008953,U101209,304653.2629303035,2768213.9131795364
1,U101005,304800.3836423711,2768272.101008953,U106003,303933.87012367585,2767493.175877421
2,U101005,304800.3836423711,2768272.101008953,U119043,305036.42089613504,2767803.3965355647
5,U101005,304800.3836423711,2768272.101008953,U119045,303898.4734739493,2767920.707275566
7,U101005,304800.3836423711,2768272.101008953,U119047,304342.8992766746,2767836.0681499476
2,U101005,304800.3836423711,2768272.101008953,U119048,303932.04602679855,2767597.400309477
86,U101005,304800.3836423711,2768272.101008953,U119049,304400.6621605508,2768031.2477738545
57,U101005,304800.3836423711,2768272.101008953,U119050,304257.745746599,2767929.8819174194
1,U101005,304800.3836423711,2768272.101008953,U119051,304754.32142501854,2767677.0972402007
100,U101005,304800.3836423711,2768272.101008953,U119052,304559.4712443352,2767943.2669394603
8,U101005,304800.3836423711,2768272.101008953,U119053,304279.8069850875,2768220.17903347
69,U101005,304800.3836423711,2768272.101008953,U119054,304539.92383030953,2768036.233267107
22,U101005,304800.3836423711,2768272.101008953,U119055,304081.35434119095,2767870.4766107467
2,U101005,304800.3836423711,2768272.101008953,U119056,304031.6167940712,2767686.406888939
2,U101005,304800.3836423711,2768272.101008953,U119057,304216.146611313,2767730.336376061
11,U101005,304800.3836423711,2768272.101008953,U119058,304078.516526145,2768077.59959358
3,U101005,304800.3836423711,2768272.101008953,U119059,304290.13719641976,2767651.9854011023
4,U101005,304800.3836423711,2768272.101008953,U119060,304285.2182209214,2767619.843458284
2,U101005,304800.3836423711,2768272.101008953,U119061,304285.4600585135,2767558.9226009357
26,U101005,304800.3836423711,2768272.101008953,U119064,304902.0743870699,2767830.5482248515
3,U101005,304800.3836423711,2768272.101008953,U119065,304070.6639647796,2767766.313414839
2,U101005,304800.3836423711,2768272.101008953,U119066,304128.2036436572,2768273.853790149
731,U101005,304800.3836423711,2768272.101008953,U119067,304645.4013813154,2768160.7135526733
287,U101005,304800.3836423711,2768272.101008953,U119068,304675.97157807957,2768087.729499767
11,U101005,304800.3836423711,2768272.101008953,U119069,304404.09539726644,2768183.0122685987
3,U101005,304800.3836423711,2768272.101008953,U119070,304080.35209444124,2767613.493381914
113,U101005,304800.3836423711,2768272.101008953,U119071,304491.0594642331,2768141.2671251013
8,U101005,304800.3836423711,2768272.101008953,U119072,304366.593607451,2767969.0827363613
1,U101005,304800.3836423711,2768272.101008953,U119074,304324.660155528,2767600.0620383685
62,U101005,304800.3836423711,2768272.101008953,U119075,304495.30130300473,2767836.6746926173
82,U101005,304800.3836423711,2768272.101008953,U119076,304696.4449396659,2768015.8127894
18,U101005,304800.3836423711,2768272.101008953,U119077,304096.06848404446,2767977.9787600175
4,U101005,304800.3836423711,2768272.101008953,U119078,304387.5589369512,2767773.1085310616
4,U101005,304800.3836423711,2768272.101008953,U119079,303950.5628750776,2767764.7313586273
1,U101005,304800.3836423711,2768272.101008953,U119082,304279.5693560593,2767771.571761908
44,U101005,304800.3836423711,2768272.101008953,U119083,304344.041751931,2768056.4990195655
75,U101005,304800.3836423711,2768272.101008953,U119084,304807.5625565405,2767991.8890027944
59,U101005,304800.3836423711,2768272.101008953,U119085,304749.2153849521,2767944.0253971517
17,U101005,304800.3836423711,2768272.101008953,U119086,304427.48961921706,2767884.03441135
24,U101005,304800.3836423711,2768272.101008953,U119087,304531.9491991297,2767758.1762209553
398,U101005,304800.3836423711,2768272.101008953,U119088,304849.52992343716,2768097.286044661
24,U101005,304800.3836423711,2768272.101008953,U119089,304744.46169487643,2767870.900099199
9,U101005,304800.3836423711,2768272.101008953,U119090,304086.01224370755,2768223.841658546
5,U101005,304800.3836423711,2768272.101008953,U119091,304973.457593252,2767899.510632437
235,U101006,304828.42582645384,2768577.930783876,U101007,304827.18925120105,2768382.9756237227
1,U101006,304828.42582645384,2768577.930783876,U101010,303854.83456431865,2767981.457124649
327,U101006,304828.42582645384,2768577.930783876,U101013,304831.9562169339,2768704.2195321564
1,U101006,304828.42582645384,2768577.930783876,U101036,305000.7550048541,2768138.8774073054
5,U101006,304828.42582645384,2768577.930783876,U101037,304934.95705389883,2768187.350405404
39,U101006,304828.42582645384,2768577.930783876,U101038,304785.47565774847,2768214.4423564468
5,U101006,304828.42582645384,2768577.930783876,U101039,304580.5831346477,2768216.945838149
1,U101006,304828.42582645384,2768577.930783876,U101042,304975.8725117133,2767800.9376219264
8,U101006,304828.42582645384,2768577.930783876,U101093,304909.3092171517,2768265.7812737348
363,U101006,304828.42582645384,2768577.930783876,U101166,304960.45692086767,2768622.767883643
61,U101006,304828.42582645384,2768577.930783876,U101190,304606.75791882776,2768486.214418667
1,U101006,304828.42582645384,2768577.930783876,U101191,305065.24971735774,2768163.505791441
